movie_title,genre,MPAA_rating,total_gross,adjusted_gross,year
Snow White and the Seven Dwarfs,Musical,G,184925485,5228953251,1937
Pinocchio,Adventure,G,84300000,2188229052,1940
Fantasia,Musical,G,83320000,2187090808,1940
Song of the South,Adventure,G,65000000,1078510579,1946
Cinderella (1950),Drama,G,85000000,920608730,1950
"20,000 Leagues Under the Sea",Adventure,,28200000,528279994,1954
Lady and the Tramp,Drama,G,93600000,1236035515,1955
Sleeping Beauty,Drama,,9464608,21505832,1959
101 Dalmatians (1961),Comedy,G,153000000,1362870985,1961
The Absent Minded Professor,Comedy,,25381407,310094574,1961
Babes in Toyland,Musical,G,10218316,124841160,1961
Bon Voyage!,Comedy,Not Rated,9230769,109581646,1962
The Sword in the Stone,Adventure,,22182353,153870834,1963
The Jungle Book (1967),Musical,Not Rated,141843000,789612346,1967
Blackbeard's Ghost,Comedy,,21540050,138612686,1968
The Aristocats,Musical,G,55675257,255161499,1970
The Boatniks,Comedy,,18607492,101200742,1970
Bedknobs and Broomsticks,Musical,,17871174,91305448,1971
The Apple Dumpling Gang,Comedy,,31916500,131246872,1975
Freaky Friday (1977),Comedy,,25942000,98067733,1977
The Many Adventures of Winnie the Pooh,,,0,0,1977
The Rescuers,Adventure,,48775599,159743914,1977
Herbie Goes to Monte Carlo,,,28000000,105847527,1977
The Black Hole,,,35841901,120377374,1979
Midnight Madness,,,2900000,9088096,1980
The Last Flight of Noah’s Ark,,,11000000,34472116,1980
The Devil and Max Devlin,,,16000000,48517980,1981
Amy,Drama,,0,0,1981
The Fox and the Hound,Comedy,,43899231,133118889,1981
Condorman,Action,,0,0,1981
Night Crossing,Drama,,4500000,12903059,1982
Tron,Action,,26918576,77184895,1982
Tex,Drama,,7199408,20643199,1982
Trenchcoat,Comedy,,4304286,11519089,1983
Something Wicked This Way Comes,Horror,,5656087,15136765,1983
Never Cry Wolf,Drama,,27668764,70669955,1983
Running Brave,Drama,,1204595,3223725,1983
Splash,Comedy,PG,62599495,157057661,1984
Country,Drama,,8400000,21075000,1984
Baby: Secret of the Lost Legend,Adventure,,14276095,33900697,1985
Return to Oz,Adventure,,10618813,25215934,1985
The Black Cauldron,Adventure,,21288692,50553142,1985
My Science Project,Comedy,,4100000,9736051,1985
The Journey of Natty Gann,Drama,,9468512,22302956,1985
One Magic Christmas,Drama,,13229514,31415432,1985
