Song,Artist,Streams (Billions)
1-800-273-8255,Logic,1.352987823
2002,Anne-Marie,1.573896976
24K Magic,Bruno Mars,1.500159446
505,Arctic Monkeys,1.808409626
7 Years,Lukas Graham,2.004016428
7 rings,Ariana Grande,2.339624083
A Sky Full of Stars,Coldplay,1.641707174
Adore You,Harry Styles,1.742267375
Africa,TOTO,1.885681517
Ain't No Mountain High Enough,Marvin Gaye,1.440956499
Ain't No Mountain High Enough,Unknown,1.437559891
All Girls Are The Same,Juice WRLD,1.689205685
All I Want for Christmas Is You,Mariah Carey,1.819599508
All The Stars,Kendrick Lamar,1.776077972
All of Me,John Legend,2.469158339
Always Remember Us This Way,Lady Gaga,1.358242471
Animals,Maroon 5,1.440004491
Another Love,Tom Odell,2.639301081
Another One Bites The Dust,Queen,1.965915289
Anti-Hero,Taylor Swift,1.663786298
Apocalypse,Cigarettes After Sex,1.454086198
Arcade,Duncan Laurence,1.240587128
As It Was,Harry Styles,3.544187311
Astronaut In The Ocean,Masked Wolf,1.279207946
Attention,Charlie Puth,1.868493179
BUTTERFLY EFFECT,Travis Scott,1.499161291
Back In Black,AC/DC,1.652115885
Bad Habits,Ed Sheeran,1.807981092
Bad Romance,Lady Gaga,1.311036384
Bang Bang,Jessie J,1.38325495
Be Alright,Dean Lewis,1.809868485
Beautiful People,Ed Sheeran,1.420532361
Beautiful Things,Benson Boone,1.360463954
Before You Go,Lewis Capaldi,2.0047567
Beggin',Måneskin,1.696715794
Believer,Imagine Dragons,3.140449933
Best Part,Daniel Caesar,1.482298917
Better,Khalid,1.413335489
Better Now,Post Malone,2.000387845
Billie Jean,Michael Jackson,1.876175652
Blank Space,Taylor Swift,1.90904639
Blinding Lights,The Weeknd,4.463658617
Blueberry Faygo,Lil Mosey,1.329708814
Body,Loud Luxury,1.236535528
Bohemian Rhapsody,Queen,2.583294814
Bones,Imagine Dragons,1.338648068
Break My Heart,Dua Lipa,1.240311447
Bring Me To Life,Evanescence,1.223891054
Budapest,George Ezra,1.236634322
Butter,BTS,1.289370484
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1.785519223
Cake By The Ocean,DNCE,1.684299898
Cake By The Ocean,MUSIC LAB JPN,1.681217835
Californication,Red Hot Chili Peppers,1.495290583
Call Me Maybe,Carly Rae Jepsen,1.487449356
Call Out My Name,The Weeknd,1.881580349
Callaita,Bad Bunny,1.501878931
Calm Down,Rema,1.483474961
Can't Feel My Face,The Weeknd,1.811295571
Can't Hold Us,Macklemore & Ryan Lewis,2.543782552
Can't Hold Us,Unknown,2.542291501
Can't Stop,Red Hot Chili Peppers,1.303241958
Castle on the Hill,Ed Sheeran,1.380334248
Centuries,Fall Out Boy,1.236779561
Chandelier,Sia,1.812363965
Chasing Cars,Snow Patrol,1.38092615
Cheap Thrills,Sia,1.81675555
Cheerleader (Felix Jaehn Remix),OMI,1.755204019
China,Anuel AA,1.211326424
Chop Suey!,System Of A Down,1.448098793
Circles,Post Malone,2.589603423
Classic,MKTO,1.413719106
Clean White Noise,White Noise Baby Sleep,1.599824641
Closer,The Chainsmokers,2.975681475
Cold Heart,Elton John,2.135135555
Cold Water,Major Lazer,1.587716278
Come As You Are,Nirvana,1.375005912
Con Calma,Daddy Yankee,1.397058803
Congratulations,Post Malone,2.042356787
Counting Stars,OneRepublic,2.615664483
Crazy In Love,Beyoncé,1.300508141
Creep,Radiohead,1.794349416
Creepin',Metro Boomin,1.422701593
Cruel Summer,Taylor Swift,2.481542457
DNA.,Kendrick Lamar,1.212071759
